temperature,day,rep,count,stage,n_obs
5,0,1,1,1,50
5,0,1,2,1,48
5,0,1,3,1,51
5,0,2,1,1,50
5,0,2,2,1,54
5,0,2,3,1,51
5,0,3,1,1,50
5,0,3,2,1,48
5,0,3,3,1,48
5,0,4,1,1,50
5,0,4,2,1,51
5,0,4,3,1,51
5,0,5,1,1,50
5,0,5,2,1,48
5,0,5,3,1,46
5,0,1,1,2,0
5,0,1,2,2,0
5,0,1,3,2,0
5,0,2,1,2,0
5,0,2,2,2,0
5,0,2,3,2,0
5,0,3,1,2,0
5,0,3,2,2,0
5,0,3,3,2,0
5,0,4,1,2,0
5,0,4,2,2,0
5,0,4,3,2,0
5,0,5,1,2,0
5,0,5,2,2,0
5,0,5,3,2,0
5,0,1,1,3,0
5,0,1,2,3,0
5,0,1,3,3,0
5,0,2,1,3,0
5,0,2,2,3,0
5,0,2,3,3,0
5,0,3,1,3,0
5,0,3,2,3,0
5,0,3,3,3,0
5,0,4,1,3,0
5,0,4,2,3,0
5,0,4,3,3,0
5,0,5,1,3,0
5,0,5,2,3,0
5,0,5,3,3,0
5,0,1,1,4,0
5,0,1,2,4,0
5,0,1,3,4,0
5,0,2,1,4,0
5,0,2,2,4,0
5,0,2,3,4,0
5,0,3,1,4,0
5,0,3,2,4,0
5,0,3,3,4,0
5,0,4,1,4,0
5,0,4,2,4,0
5,0,4,3,4,0
5,0,5,1,4,0
5,0,5,2,4,0
5,0,5,3,4,0
5,3,1,1,1,49
5,3,1,2,1,52
5,3,1,3,1,51
5,3,2,1,1,51
5,3,2,2,1,53
5,3,2,3,1,51
5,3,3,1,1,50
5,3,3,2,1,47
5,3,3,3,1,48
5,3,4,1,1,50
5,3,4,2,1,51
5,3,4,3,1,48
5,3,5,1,1,50
5,3,5,2,1,48
5,3,5,3,1,47
5,3,1,1,2,0
5,3,1,2,2,0
5,3,1,3,2,0
5,3,2,1,2,0
5,3,2,2,2,0
5,3,2,3,2,0
5,3,3,1,2,0
5,3,3,2,2,0
5,3,3,3,2,0
5,3,4,1,2,0
5,3,4,2,2,0
5,3,4,3,2,0
5,3,5,1,2,0
5,3,5,2,2,0
5,3,5,3,2,0
5,3,1,1,3,0
5,3,1,2,3,0
5,3,1,3,3,0
5,3,2,1,3,0
5,3,2,2,3,0
5,3,2,3,3,0
5,3,3,1,3,0
5,3,3,2,3,0
5,3,3,3,3,0
5,3,4,1,3,0
5,3,4,2,3,0
5,3,4,3,3,0
5,3,5,1,3,0
5,3,5,2,3,0
5,3,5,3,3,0
5,3,1,1,4,0
5,3,1,2,4,0
5,3,1,3,4,0
5,3,2,1,4,0
5,3,2,2,4,0
5,3,2,3,4,0
5,3,3,1,4,0
5,3,3,2,4,0
5,3,3,3,4,0
5,3,4,1,4,0
5,3,4,2,4,0
5,3,4,3,4,0
5,3,5,1,4,0
5,3,5,2,4,0
5,3,5,3,4,0
5,6,1,1,1,47
5,6,1,2,1,48
5,6,1,3,1,47
5,6,2,1,1,54
5,6,2,2,1,53
5,6,2,3,1,52
5,6,3,1,1,45
5,6,3,2,1,47
5,6,3,3,1,44
5,6,4,1,1,50
5,6,4,2,1,50
5,6,4,3,1,48
5,6,5,1,1,48
5,6,5,2,1,48
5,6,5,3,1,47
5,6,1,1,2,0
5,6,1,2,2,0
5,6,1,3,2,0
5,6,2,1,2,0
5,6,2,2,2,0
5,6,2,3,2,0
5,6,3,1,2,0
5,6,3,2,2,0
5,6,3,3,2,0
5,6,4,1,2,0
5,6,4,2,2,0
5,6,4,3,2,0
5,6,5,1,2,0
5,6,5,2,2,0
5,6,5,3,2,0
5,6,1,1,3,0
5,6,1,2,3,0
